"date","accident","copd","cvd","death","inf","pneu","resp","city","dow","tmpd","tmax","tmin","dptp","rhum","pm10","pm25","o3","no2","so2","co","date_lag_1","date_lag_2","date_lag_3","date_lag_4","date_lag_5","accident_lag_1","accident_lag_2","accident_lag_3","accident_lag_4","accident_lag_5","copd_lag_1","copd_lag_2","copd_lag_3","copd_lag_4","copd_lag_5","cvd_lag_1","cvd_lag_2","cvd_lag_3","cvd_lag_4","cvd_lag_5","death_lag_1","death_lag_2","death_lag_3","death_lag_4","death_lag_5","inf_lag_1","inf_lag_2","inf_lag_3","inf_lag_4","inf_lag_5","pneu_lag_1","pneu_lag_2","pneu_lag_3","pneu_lag_4","pneu_lag_5","resp_lag_1","resp_lag_2","resp_lag_3","resp_lag_4","resp_lag_5","city_lag_1","city_lag_2","city_lag_3","city_lag_4","city_lag_5","dow_lag_1","dow_lag_2","dow_lag_3","dow_lag_4","dow_lag_5","tmpd_lag_1","tmpd_lag_2","tmpd_lag_3","tmpd_lag_4","tmpd_lag_5","tmax_lag_1","tmax_lag_2","tmax_lag_3","tmax_lag_4","tmax_lag_5","tmin_lag_1","tmin_lag_2","tmin_lag_3","tmin_lag_4","tmin_lag_5","dptp_lag_1","dptp_lag_2","dptp_lag_3","dptp_lag_4","dptp_lag_5","rhum_lag_1","rhum_lag_2","rhum_lag_3","rhum_lag_4","rhum_lag_5","pm10_lag_1","pm10_lag_2","pm10_lag_3","pm10_lag_4","pm10_lag_5","pm25_lag_1","pm25_lag_2","pm25_lag_3","pm25_lag_4","pm25_lag_5","o3_lag_1","o3_lag_2","o3_lag_3","o3_lag_4","o3_lag_5","no2_lag_1","no2_lag_2","no2_lag_3","no2_lag_4","no2_lag_5","so2_lag_1","so2_lag_2","so2_lag_3","so2_lag_4","so2_lag_5","co_lag_1","co_lag_2","co_lag_3","co_lag_4","co_lag_5","death_nextDay","month","year","weekend","week","dow_Sunday","dow_Monday","dow_Tuesday","dow_Wednesday","dow_Thursday","dow_Friday","dow_Saturday","month_Jan","month_Feb","month_Mar","month_Apr","month_May","month_Jun","month_Jul","month_Aug","month_Sep","month_Oct","month_Nov","month_Dec","is_tmax_high","is_treated","pair","death_sum3","id"
"1992-06-13",2,3,48,79,0,5,8,"chic","Saturday",73.5,91,56,52.125,39.75,59.977094219,NA,47.135478133,47.488619619,6.9062313395,1328.22544612,"1992-06-12","1992-06-11","1992-06-10","1992-06-09","1992-06-08",0,3,1,5,8,0,0,1,3,3,52,42,44,47,38,100,80,71,74,72,0,0,0,0,0,6,6,2,3,5,6,6,3,6,8,"chic","chic","chic","chic","chic","Friday","Thursday","Wednesday","Tuesday","Monday",69,67,64,65,62,86,82,78,74,75,52,52,50,56,49,45.75,47.25,42.5,43.875,47.75,35.5,40.875,38.5,50,55.875,33.9412733236,40.5435163665,26.081571831,17.102467357,18.134996793,NA,NA,NA,NA,NA,41.422056324,26.8962686658,29.6248024991,27.6253308304,25.0029162678,39.888425461,35.885083711,30.2005745741,18.880088242,23.971354612,4.8558722693,3.8655096793,3.1780992313,1.2095599325,2.5695763936,1196.8605217,1162.49719932,761.75523767,463.43985602,690.80975796,99,"Jun",1992,TRUE,24,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,TRUE,TRUE,11,259,11
"1992-06-14",5,3,54,99,0,5,8,"chic","Sunday",75.5,89,62,61,72.875,44.101608564,NA,42.547684064,21.177941141,5.6869649201,553.35759212,"1992-06-13","1992-06-12","1992-06-11","1992-06-10","1992-06-09",2,0,3,1,5,3,0,0,1,3,48,52,42,44,47,79,100,80,71,74,0,0,0,0,0,5,6,6,2,3,8,6,6,3,6,"chic","chic","chic","chic","chic","Saturday","Friday","Thursday","Wednesday","Tuesday",73.5,69,67,64,65,91,86,82,78,74,56,52,52,50,56,52.125,45.75,47.25,42.5,43.875,39.75,35.5,40.875,38.5,50,59.977094219,33.9412733236,40.5435163665,26.081571831,17.102467357,NA,NA,NA,NA,NA,47.135478133,41.422056324,26.8962686658,29.6248024991,27.6253308304,47.488619619,39.888425461,35.885083711,30.2005745741,18.880088242,6.9062313395,4.8558722693,3.8655096793,3.1780992313,1.2095599325,1328.22544612,1196.8605217,1162.49719932,761.75523767,463.43985602,79,"Jun",1992,TRUE,24,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE,TRUE,12,278,12
"1992-09-07",3,4,48,71,0,1,5,"chic","Monday",73.5,83,64,65.5,71,25.432788937,NA,32.277477296,21.540842666,2.4136370711,710.30514753,"1992-09-06","1992-09-05","1992-09-04","1992-09-03","1992-09-02",8,3,6,4,2,2,4,1,4,3,45,56,50,44,51,82,79,78,71,92,0,0,0,0,0,5,4,6,5,6,7,8,7,9,9,"chic","chic","chic","chic","chic","Sunday","Saturday","Friday","Thursday","Wednesday",75,70.5,65.5,67.5,70,82,82,79,78,74,68,59,52,57,66,66.75,65.75,57.625,51.125,66.5,77.875,72.25,70.5,59.375,90,27.190912234,25.789900486,31.8329602632,32.1853161982,46.739820174,NA,NA,NA,NA,NA,28.8770325097,25.3266109386,19.958118699,16.765351761,17.768373347,17.501012243,19.065797488,31.81657403,24.527259181,24.079697678,2.5820159961,2.1887835875,5.3060722926,3.3983214821,3.2062552072,472.70769369,597.51569169,1194.8041438,679.20866739,695.15285392,70,"Sep",1992,FALSE,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,TRUE,TRUE,13,232,13
"1993-06-24",5,5,45,90,0,1,6,"chic","Thursday",78.5,87,70,67.875,76.625,49.288806497,NA,32.717640714,25.9584077379,2.9309968788,721.69642037,"1993-06-23","1993-06-22","1993-06-21","1993-06-20","1993-06-19",4,3,6,4,7,2,1,3,2,3,64,55,49,46,45,91,82,77,67,83,0,0,0,0,0,5,7,2,6,6,7,8,5,8,9,"chic","chic","chic","chic","chic","Wednesday","Tuesday","Monday","Sunday","Saturday",71.5,72,70.5,69.5,70.5,85,86,79,76,83,58,58,62,63,58,67.375,56.25,62.625,61.75,69,67.5,66.75,75.25,78.625,90.625,55.74950565,43.70888065,26.877427309,14.683121469,24.636246469,NA,NA,NA,NA,NA,40.420238123,27.8991415979,18.384415509,26.3872699515,27.5544732605,25.385605695,37.55123106,27.4817032875,11.913638257,22.429893219,4.2789641373,4.9818522027,4.1144486196,1.8263026685,2.3083662955,782.421749868,1151.77525374,1107.60014617,371.49611258,686.63888101,80,"Jun",1993,FALSE,25,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE,TRUE,14,263,14
"1993-07-28",2,2,39,74,0,3,5,"chic","Wednesday",76.5,85,68,62,66.75,43.320013956,NA,26.5949185828,15.531228041,3.6915673096,408.82202101,"1993-07-27","1993-07-26","1993-07-25","1993-07-24","1993-07-23",4,3,3,5,4,5,5,7,4,0,44,36,46,48,56,73,72,94,83,88,0,0,0,0,0,1,1,9,4,3,6,6,16,8,3,"chic","chic","chic","chic","chic","Tuesday","Monday","Sunday","Saturday","Friday",78.5,76,79.5,77.5,72.5,88,85,88,85,78,69,67,71,70,67,78.125,66.125,73.75,71.25,65.75,79.375,68.75,74.75,79.75,73.125,58.376283883,29.499165702,28.28732373,44.107009948,49.349435752,NA,NA,NA,NA,NA,26.4136314358,22.6797587753,32.136448887,26.3473996538,28.2639154857,25.5913104842,20.060299651,15.030748325,25.4253367553,26.4327173458,5.8920778596,5.0459703492,3.0719050179,4.5855657167,7.9771355387,687.87181582,541.55565707,393.1648441,677.65184362,699.6170644,77,"Jul",1993,FALSE,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE,TRUE,15,219,15
"1993-08-19",3,0,44,75,0,2,2,"chic","Thursday",78,84,72,72.375,89.375,50.28764496,NA,15.930677595,34.3271108811,2.2991629532,1017.734984,"1993-08-18","1993-08-17","1993-08-16","1993-08-15","1993-08-14",4,4,1,7,2,1,4,4,3,3,52,53,50,61,47,84,79,89,90,74,0,0,0,0,0,4,2,5,2,0,5,6,9,5,3,"chic","chic","chic","chic","chic","Wednesday","Tuesday","Monday","Sunday","Saturday",76.5,75,76,74,77,85,81,84,78,89,68,69,68,70,65,69.625,69,68.875,71.625,67.375,73.875,84.875,80.5,96.875,67.125,44.428434433,39.337316308,33.8263351719,45.454204024,76.667501805,NA,NA,NA,NA,NA,40.616733642,40.501428662,22.9273798969,22.503898654,34.03965163,28.0145568263,16.643739439,26.3634682506,28.4406954957,33.1596977494,4.7332717788,0.875436662099999,2.6206861227,4.1015522759,7.9366362755,838.279244793,495.67827562,750.8063521394,826.266253775,1109.34958456,65,"Aug",1993,FALSE,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,TRUE,TRUE,16,238,16
"1993-08-26",3,8,42,80,0,3,11,"chic","Thursday",84,94,74,74,67,59.592484704,NA,26.0871564808,30.8414096511,4.4058731011,846.01990559,"1993-08-25","1993-08-24","1993-08-23","1993-08-22","1993-08-21",2,6,8,3,7,3,9,1,2,5,47,55,52,41,44,81,97,84,75,81,0,0,0,0,0,2,9,6,8,4,5,18,7,10,9,"chic","chic","chic","chic","chic","Wednesday","Tuesday","Monday","Sunday","Saturday",79,77,80,70,71.5,88,86,90,78,79,70,68,70,62,64,72.375,68.375,71.5,64.75,61.75,81.125,65.875,87.625,73.125,71.5,44.997439648,37.375882768,55.449576601,19.449649218,12.878103158,NA,NA,NA,NA,NA,26.4249365355,20.6581318089,32.084416293,24.272254519,22.4907401511,32.5401139595,24.16538542,21.356806806,16.92912157,10.382583405,3.768518945,3.5697429466,5.5336762419,1.8839782177,2.3949754752,977.82381005,598.59207535,591.32606781,473.88458596,425.87486923,87,"Aug",1993,FALSE,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,TRUE,TRUE,17,258,17
"1994-06-17",4,3,64,85,0,2,5,"chic","Friday",81.5,93,70,65.375,55.125,102.033677436,NA,30.6506086922,39.868919482,10.2134521616,887.552459482,"1994-06-16","1994-06-15","1994-06-14","1994-06-13","1994-06-12",4,2,2,7,5,1,10,2,5,4,46,44,43,52,38,85,74,79,94,68,0,0,0,0,0,7,4,5,3,1,8,14,7,8,5,"chic","chic","chic","chic","chic","Thursday","Wednesday","Tuesday","Monday","Sunday",84,86,80,78,72.5,94,94,94,90,85,74,78,66,66,60,65,66.375,70,66.875,58.125,47.75,48.875,54.625,71.25,51.75,82.116072374,85.331724138,50.372276285,34.730213918,20.455393866,NA,NA,NA,NA,NA,34.508819083,30.1905057275,29.3997690384,33.363719829,30.8568645179,34.264957879,22.996255372,21.040054791,21.065082893,19.077419722,7.4832377329,4.0407931784,2.4905081047,2.9157669968,4.3370599182,746.93341874,556.25109012,511.40124935,465.98970047,357.57725023,92,"Jun",1994,FALSE,24,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE,TRUE,18,244,18
"1994-07-24",10,3,43,71,0,2,5,"chic","Sunday",74.5,84,65,57.25,54.625,11.166756352,NA,22.7512421325,16.386919093,4.7155939311,396.56163292,"1994-07-23","1994-07-22","1994-07-21","1994-07-20","1994-07-19",6,3,1,4,5,5,2,3,4,2,49,42,49,58,43,79,73,85,79,63,0,0,0,0,0,1,1,4,4,4,6,3,7,8,6,"chic","chic","chic","chic","chic","Saturday","Friday","Thursday","Wednesday","Tuesday",75.5,72.5,74.5,79.5,77,86,81,82,90,86,65,64,67,69,68,63.75,64.125,66.625,69.5,67.25,61.75,69.375,82.75,75.125,71.75,21.259338942,27.935713041,36.397318673,48.859093141,35.364463762,NA,NA,NA,NA,NA,21.257504724,13.142147547,17.737118092,25.1101303983,20.814277455,18.656272063,19.864864057,23.049338685,26.087633236,27.5510215771,5.5840450133,4.1612729637,4.9580840935,4.8779583071,3.7957438001,574.67529576,590.21958962,559.86181221,642.7800832,563.26613014,67,"Jul",1994,TRUE,29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE,TRUE,19,223,19
"1994-08-01",8,4,69,92,0,3,7,"chic","Monday",77,86,68,67,79.75,56.096370448,NA,33.833549046,28.6354347395,5.3187330815,665.88035913,"1994-07-31","1994-07-30","1994-07-29","1994-07-28","1994-07-27",6,5,1,3,5,2,4,5,3,6,47,45,41,45,43,69,89,84,72,77,0,0,0,0,0,2,1,4,4,2,4,5,9,7,8,"chic","chic","chic","chic","chic","Sunday","Saturday","Friday","Thursday","Wednesday",75,70,67.5,66,67.5,86,83,80,75,74,64,57,55,57,61,61.5,57.75,51.375,50.25,54,54.25,55.625,50.875,54.25,65.625,45.7961378334,68.645115708,65.471028567,20.275424412,20.210753409,NA,NA,NA,NA,NA,31.679196933,28.1652054832,17.709069526,13.914295953,14.082599966,21.275084117,36.837932893,31.8031514152,17.18586274,15.34416821,5.0163055661,5.0980649617,3.2300432625,0.9817476728,1.408125362,461.17819943,990.46393023,1192.63389822,595.03778821,540.24470744,59,"Aug",1994,FALSE,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,TRUE,TRUE,20,250,20
