"city","n","mean.control","mean.treated","tau","var.control","var.treated","var.tau.unpaired","lower.CI.tau.unpaired","upper.CI.tau.unpaired","lower.CI.tau.paired","upper.CI.tau.paired","pop","ate_adj","IRR","lower.CI","upper.CI","IRR.pairs","lower.CI.pairs","upper.CI.pairs","IRR.covs","lower.CI.covs","upper.CI.covs","IRR.covs.unmatch","lower.CI.covs.unmatch","upper.CI.covs.unmatch","est.bayes","var.bayes","lower.CI.bayes","upper.CI.bayes","p_value_ATE","adjusted_p_value_ATE","fisher_ATE_low","fisher_ATE_high","p_value_RR","adjusted_p_value_RR","fisher_RR_low","fisher_RR_high"
"chic",72,221.888888888889,234.694444444444,12.8055555555556,272.273015873016,317.989682539683,16.3961860670194,4.86908351849391,20.7420275926172,6.04195005048415,19.569161060627,2783485,0.460054771466545,1.05771156735194,1.0258529369611,1.09056914490027,1.05771156735091,1.02585293696116,1.09056914490015,1.05217953967919,1.01927722616807,1.08615219949978,1.02762378961984,1.01684550855973,1.03851811201655,12.4953694103632,9.58626037692148,6.42687883494158,18.5638599857849,5e-05,0.00022,6.0526329144,18.94736842048,0.00543,0.0269,1.011032,1.09491
"la",118,291.966101694915,300.423728813559,8.45762711864404,283.929865575687,427.075978959673,12.0509465175485,1.65359036522963,15.2616638720585,1.68800754742428,15.2272466898639,3485567,0.242647096401935,1.02896783931553,1.0076161977425,1.05077412991816,1.02896783931267,1.00761619774252,1.05077412991814,1.03896492797314,1.01332509028618,1.065258959356,1.0240564137141,1.01554942601002,1.03263435388613,8.56921764403743,6.54251254277496,3.55586385796525,13.5825714301096,0.00848,0.04046,1.433333333684,15.5517241382,0.01263,0.06167,1.00461,1.0746
"ny",66,349.242424242424,369.787878787879,20.5454545454546,746.876893939394,1144.85984848485,57.3253558310377,5.70560660282003,35.3853024880891,10.8300949139608,30.2608141769483,7322564,0.280577329818552,1.05882863343024,1.03221599729963,1.08613411279204,1.05882863340561,1.03221599729976,1.08613411279191,1.05736218143078,1.02425924525741,1.09154655638203,1.0380516531306,1.02905043989309,1.04713210832798,20.5389742945178,33.5849095223842,9.18028649965383,31.8976620893817,0,0,11.1875,29.5,0.00464,0.02303,1.014272,1.10608
"pitt",80,82.65,83.2,0.549999999999997,104.284615384615,90.9846153846154,4.88173076923077,-3.78054926343956,4.88054926343956,-3.79736040076059,4.89736040076059,369962,0.148663916834701,1.00665456745311,0.959353205923335,1.05629085387163,1.00665456745312,0.959353205923335,1.05629085387162,0.990017178413456,0.940904836351928,1.041683214229,1.01230204621264,0.994563055571322,1.03035754456778,0.422882770233526,1.09655040458752,-1.62955676219207,2.47532230265912,0.41837,0.93194,-3.5500000002,4.449985714,0.62848,0.99241,0.921362,1.0616
"seat",66,58.9090909090909,62.6363636363636,3.72727272727273,59.4602272727273,45.4886363636364,3.18026859504132,0.231944440157088,7.22260101438837,0.85238767773952,6.60215777680593,516262,0.721973092591112,1.06327160493827,0.999441809956089,1.13122232957649,1.06327160493827,0.999441809956086,1.13122232957649,1.07649267874292,0.999442467512333,1.15957107481462,1.02994034198801,0.999727592022017,1.0610424727336,3.65583236947249,0.913184352011433,1.78284304577438,5.52882169317061,0.0078,0.03782,0.7058823533,6.647058823,0.01434,0.06971,1.008,1.1530368
